Frequency,Channel A,Channel C
(ms),(V),(mV)

-209.62913827,-0.46886830,-6.45525600
-209.52913827,-0.46441220,-6.19582400
-209.42913827,-0.46221460,-6.45525600
-209.32913827,-0.45781960,-6.19582400
-209.22913828,-0.45232570,-6.45525600
-209.12913828,-0.44793060,-6.45525600
-209.02913828,-0.44463430,-6.19582400
-208.92913828,-0.44133810,-7.00463900
-208.82913829,-0.43694300,-6.45525600
-208.72913829,-0.43474540,-5.66170100
-208.62913829,-0.42925160,-5.92113300
-208.52913829,-0.42479550,-6.19582400
-208.42913830,-0.42040040,-5.92113300
-208.32913830,-0.41600540,-5.92113300
-208.22913830,-0.41380780,-5.92113300
-208.12913830,-0.40831400,-6.19582400
-208.02913831,-0.40282020,-6.19582400
-207.92913831,-0.39732630,-5.92113300
-207.82913831,-0.39622760,-5.66170100
-207.72913831,-0.39073370,-6.19582400
-207.62913832,-0.38517890,-5.66170100
-207.52913832,-0.38188250,-5.66170100
-207.42913832,-0.37748750,-5.38701000
-207.32913833,-0.37309240,-5.92113300
-207.22913833,-0.36869730,-6.19582400
-207.12913833,-0.36320350,-5.66170100
-207.02913833,-0.35880850,-5.38701000
-206.92913834,-0.35331460,-5.92113300
-206.82913834,-0.35111710,-5.11231800
-206.72913834,-0.34666100,-5.11231800
-206.62913834,-0.34116710,-5.38701000
-206.52913835,-0.33567330,-5.38701000
-206.42913835,-0.33347580,-5.66170100
-206.32913835,-0.32688320,-5.38701000
-206.22913835,-0.32138930,-5.38701000
-206.12913836,-0.31919180,-5.38701000
-206.02913836,-0.31259920,-5.38701000
-205.92913836,-0.30924180,-5.11231800
-205.82913836,-0.30374800,-5.11231800
-205.72913837,-0.29935290,-4.57819500
-205.62913837,-0.29276030,-4.85288700
-205.52913837,-0.28836530,-5.38701000
-205.42913837,-0.28506900,-4.85288700
-205.32913838,-0.28067390,-4.85288700
-205.22913838,-0.27518010,-4.04407300
-205.12913838,-0.26962520,-4.57819500
-205.02913838,-0.26413140,-5.38701000
-204.92913839,-0.25973630,-5.11231800
-204.82913839,-0.25424240,-4.85288700
-204.72913839,-0.24984740,-5.11231800
-204.62913839,-0.24435360,-4.57819500
-204.52913840,-0.24105720,-4.57819500
-204.42913840,-0.23336590,-4.57819500
-204.32913840,-0.23000850,-5.11231800
-204.22913840,-0.22561350,-5.11231800
-204.12913841,-0.22011960,-4.04407300
-204.02913841,-0.21462580,-4.30350400
-203.92913841,-0.21242830,-4.57819500
-203.82913841,-0.20473690,-3.76938100
-203.72913842,-0.20034180,-4.57819500
-203.62913842,-0.19368820,-4.04407300
-203.52913842,-0.19039190,-4.30350400
-203.42913842,-0.18270050,-4.30350400
-203.32913843,-0.17830540,-4.04407300
-203.22913843,-0.17391040,-3.76938100
-203.12913843,-0.16841660,-3.76938100
-203.02913843,-0.16292270,-3.76938100
-202.92913844,-0.15962640,-3.50995000
-202.82913844,-0.15297280,-4.30350400
-202.72913844,-0.14747890,-3.23525800
-202.62913844,-0.14308390,-3.50995000
-202.52913845,-0.13649130,-3.76938100
-202.42913845,-0.13099740,-3.76938100
-202.32913845,-0.12550360,-3.76938100
-202.22913845,-0.12110850,-3.23525800
-202.12913846,-0.11555370,-3.50995000
-202.02913846,-0.11005980,-3.76938100
